request_id,target_word,other_word,query_json,frame_count,timeline_frame_count,capture_fps,error,target_score,other_score,margin,target_band,other_band,target_capture_quality_status,target_capture_quality_reason,other_capture_quality_status,other_capture_quality_reason,target_score_scale_reason,other_score_scale_reason,target_semantic_floor_reason,other_semantic_floor_reason,target_core_presence,other_core_presence,eligible_for_gate,confusion_pass,confusion_reason
web_20260523_010215_ab4961d9,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010215_ab4961d9/holistic/user_花_web_20260523_010215_ab4961d9_holistic_results.json,30,,10.0,,79.16065010906186,1.9572924205413733,77.20335768852048,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_010234_e2d59e5e,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010234_e2d59e5e/holistic/user_跳_web_20260523_010234_e2d59e5e_holistic_results.json,45,,15.0,,73.05205591467838,15.902002720008316,57.150053194670065,borderline,low,score_valid,score_valid,semantic_mismatch,flower_opening_guard_failed,jump_relation_semantic_floor,default,used,query_not_short_core_capture,0.8461538461538461,0.9230769230769231,True,True,passed
web_20260523_011122_fb34e3e5,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_011122_fb34e3e5/holistic/user_跳_web_20260523_011122_fb34e3e5_holistic_results.json,30,,10.0,,69.52551754318915,30.11455445923052,39.410963083958634,borderline,low,score_valid,score_valid,semantic_mismatch,flower_opening_guard_failed,jump_relation_semantic_floor,default,used,query_not_short_core_capture,0.75,1.0,True,True,passed
web_20260523_011135_5967dd5a,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_011135_5967dd5a/holistic/user_跳_web_20260523_011135_5967dd5a_holistic_results.json,30,,10.0,,3.110634612389878,22.371158123405145,-19.26052351101527,low,low,needs_recapture,jump_two_hand_presence_low,semantic_mismatch,flower_opening_guard_failed,short_action_window_with_query_energy_peak,default,insufficient_two_hand_presence,query_not_short_core_capture,0.5,0.875,False,False,not_eligible
web_20260523_015650_c394e067,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015650_c394e067/holistic/user_跳_web_20260523_015650_c394e067_holistic_results.json,19,37,14.682539682539682,,84.92334172592344,14.093210717162385,70.83013100876104,normal_like,low,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,used,jump_like_two_hand_confusion,1.0,1.0,True,True,passed
web_20260523_015727_2cb1fbe6,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015727_2cb1fbe6/holistic/user_跳_web_20260523_015727_2cb1fbe6_holistic_results.json,19,37,14.682539682539682,,84.94841523300283,14.490134943272025,70.45828028973081,normal_like,low,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,used,jump_like_two_hand_confusion,1.0,1.0,True,True,passed
web_20260523_015736_2678050f,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015736_2678050f/holistic/user_花_web_20260523_015736_2678050f_holistic_results.json,30,54,18.0,,77.84263020273929,1.019879690921824,76.82275051181746,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_015755_80a348dd,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015755_80a348dd/holistic/user_花_web_20260523_015755_80a348dd_holistic_results.json,30,54,18.0,,78.25112504326592,1.1671093649749709,77.08401567829094,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,0.7666666666666667,0.0,True,True,passed
web_20260523_015816_3c06955d,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015816_3c06955d/holistic/user_花_web_20260523_015816_3c06955d_holistic_results.json,30,54,18.0,,78.22802383654293,0.4523384612523734,77.77568537529056,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,0.6333333333333333,0.0,True,True,passed
web_20260523_015835_2dfac551,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015835_2dfac551/holistic/user_花_web_20260523_015835_2dfac551_holistic_results.json,15,30,10.0,,78.1195983881378,2.2871629830538094,75.832435405084,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,flower_short_visible_core_semantic_floor,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,1.0,0.0,True,True,passed
